web-scraper-order,web-scraper-start-url,extractAddress
"1641160370-18","https://www.carvana.com/carvanalocations","Augusta, GA 30907"
"1641160370-5","https://www.carvana.com/carvanalocations","Miami, FL 33182"
"1641160370-130","https://www.carvana.com/carvanalocations","Greensboro, NC 27407-2668"
"1641160370-32","https://www.carvana.com/carvanalocations","South Plainfield, NJ 07080"
"1641160370-103","https://www.carvana.com/carvanalocations","Bridgeville, PA 15017"
"1641160370-96","https://www.carvana.com/carvanalocations","Tempe, AZ 85281"
"1641160370-80","https://www.carvana.com/carvanalocations","Oak Creek, WI 53154"
"1641160370-15","https://www.carvana.com/carvanalocations","Greenville, SC 29607"
"1641160370-10","https://www.carvana.com/carvanalocations","Houston, TX 77079"
"1641160370-99","https://www.carvana.com/carvanalocations","Austin, TX 78745"
"1641160370-115","https://www.carvana.com/carvanalocations","Oak Brook, IL 60523"
"1641160370-144","https://www.carvana.com/carvanalocations","Nashville, TN 37204"
"1641160370-36","https://www.carvana.com/carvanalocations","Birmingham, AL 35233"
"1641160370-75","https://www.carvana.com/carvanalocations","Jeffersontown, KY 40299"
"1641160370-25","https://www.carvana.com/carvanalocations","Moriarty, NM 87035"
"1641160370-23","https://www.carvana.com/carvanalocations","Chattanooga, TN 37421"
"1641160370-69","https://www.carvana.com/carvanalocations","Eastpointe, MI 48021"
"1641160370-6","https://www.carvana.com/carvanalocations","Petersburg, VA 23805"
"1641160370-51","https://www.carvana.com/carvanalocations","Charlotte, NC 28209"
"1641160370-149","https://www.carvana.com/carvanalocations","Orlando, FL 32805"
"1641160370-124","https://www.carvana.com/carvanalocations","Oak Creek, WI 53154"
"1641160370-20","https://www.carvana.com/carvanalocations","Jeffersontown, KY 40299"
"1641160370-128","https://www.carvana.com/carvanalocations","Gambrills, MD 21054"
"1641160370-108","https://www.carvana.com/carvanalocations","Sacramento, CA 95828"
"1641160370-84","https://www.carvana.com/carvanalocations","Rochester, NY 14609"
"1641160370-119","https://www.carvana.com/carvanalocations","Denver, CO 80216"
"1641160370-38","https://www.carvana.com/carvanalocations","South Windsor, CT 06074"
"1641160370-90","https://www.carvana.com/carvanalocations","Delanco, NJ 08075"
"1641160370-33","https://www.carvana.com/carvanalocations","San Antonio, TX 78249"
"1641160370-76","https://www.carvana.com/carvanalocations","Moosic, PA 18507"
"1641160370-81","https://www.carvana.com/carvanalocations","Columbus, OH 43228"
"1641160370-131","https://www.carvana.com/carvanalocations","Tampa, FL 33619"
"1641160370-151","https://www.carvana.com/carvanalocations","Orlando, FL 32805"
"1641160370-136","https://www.carvana.com/carvanalocations","Raleigh, NC 27609"
"1641160370-26","https://www.carvana.com/carvanalocations","Raleigh, NC 27609"
"1641160370-125","https://www.carvana.com/carvanalocations","Kansas City, KS 66106"
"1641160370-39","https://www.carvana.com/carvanalocations","South Windsor, CT 06074"
"1641160370-31","https://www.carvana.com/carvanalocations","Hialeah, FL 33014"
"1641160370-9","https://www.carvana.com/carvanalocations","Memphis, TN 38115"
"1641160370-87","https://www.carvana.com/carvanalocations","Westport, CT 06880"
"1641160370-13","https://www.carvana.com/carvanalocations","St. Peters, MO 63376"
"1641160370-52","https://www.carvana.com/carvanalocations","San Jose, CA 95112"
"1641160370-93","https://www.carvana.com/carvanalocations","Birmingham, AL 35233"
"1641160370-106","https://www.carvana.com/carvanalocations","Sacramento, CA 95828"
"1641160370-21","https://www.carvana.com/carvanalocations","Eastpointe, MI 48021"
"1641160370-42","https://www.carvana.com/carvanalocations","San Diego, CA 92101"
"1641160370-118","https://www.carvana.com/carvanalocations","Grand Rapids, MI 49508"
"1641160370-4","https://www.carvana.com/carvanalocations","Hialeah, FL 33014"
"1641160370-127","https://www.carvana.com/carvanalocations","Gaithersburg, MD 20877"
"1641160370-120","https://www.carvana.com/carvanalocations","Denver, CO 80216"
"1641160370-146","https://www.carvana.com/carvanalocations","Knoxville, TN 37923"
"1641160370-37","https://www.carvana.com/carvanalocations","Birmingham, AL 35233"
"1641160370-145","https://www.carvana.com/carvanalocations","Knoxville, TN 37923"
"1641160370-92","https://www.carvana.com/carvanalocations","Augusta, GA 30907"
"1641160370-97","https://www.carvana.com/carvanalocations","Cincinnati, OH 45255"
"1641160370-113","https://www.carvana.com/carvanalocations","San Jose, CA 95112"
"1641160370-1","https://www.carvana.com/carvanalocations","Atlanta, GA 30318"
"1641160370-123","https://www.carvana.com/carvanalocations","Oak Creek, WI 53154"
"1641160370-11","https://www.carvana.com/carvanalocations","Austin, TX 78745"
"1641160370-110","https://www.carvana.com/carvanalocations","Sacramento, CA 95828"
"1641160370-126","https://www.carvana.com/carvanalocations","Kansas City, KS 66106"
"1641160370-121","https://www.carvana.com/carvanalocations","Denver, CO 80216"
"1641160370-47","https://www.carvana.com/carvanalocations","Danvers, MA 01923"
"1641160370-48","https://www.carvana.com/carvanalocations","Danvers, MA 01924"
"1641160370-53","https://www.carvana.com/carvanalocations","Orlando, FL 32805"
"1641160370-8","https://www.carvana.com/carvanalocations","Cincinnati, OH 45255"
"1641160370-77","https://www.carvana.com/carvanalocations","Newark, CA 94560"
"1641160370-43","https://www.carvana.com/carvanalocations","Denver, CO 80216"
"1641160370-29","https://www.carvana.com/carvanalocations","Bakersfield, CA 93309"
"1641160370-19","https://www.carvana.com/carvanalocations","Oklahoma City, OK 73149"
"1641160370-98","https://www.carvana.com/carvanalocations","Houston, TX 77079"
"1641160370-150","https://www.carvana.com/carvanalocations","Orlando, FL 32805"
"1641160370-109","https://www.carvana.com/carvanalocations","Sacramento, CA 95828"
"1641160370-91","https://www.carvana.com/carvanalocations","Delanco, NJ 08075"
"1641160370-86","https://www.carvana.com/carvanalocations","Moosic, PA 18507"
"1641160370-22","https://www.carvana.com/carvanalocations","Knoxville, TN 37923"
"1641160370-140","https://www.carvana.com/carvanalocations","Chatsworth, CA 91311-6120"
"1641160370-70","https://www.carvana.com/carvanalocations","Indianapolis, IN 46250"
"1641160370-114","https://www.carvana.com/carvanalocations","Bakersfield, CA 93309"
"1641160370-40","https://www.carvana.com/carvanalocations","South Windsor, CT 06074"
"1641160370-82","https://www.carvana.com/carvanalocations","Rochester, NY 14609"
"1641160370-148","https://www.carvana.com/carvanalocations","Jacksonville, FL 32216"
"1641160370-57","https://www.carvana.com/carvanalocations","Sacramento, CA 95828"
"1641160370-35","https://www.carvana.com/carvanalocations","Columbia, SC 29210"
"1641160370-63","https://www.carvana.com/carvanalocations","Warrensville Heights, OH 44128"
"1641160370-147","https://www.carvana.com/carvanalocations","Orlando, FL 32805"
"1641160370-12","https://www.carvana.com/carvanalocations","San Antonio, TX 78249"
"1641160370-54","https://www.carvana.com/carvanalocations","Tempe, AZ 85281"
"1641160370-74","https://www.carvana.com/carvanalocations","Philadelphia, PA 19123"
"1641160370-14","https://www.carvana.com/carvanalocations","Frisco, TX 75034"
"1641160370-72","https://www.carvana.com/carvanalocations","Conway, SC 29526"
"1641160370-34","https://www.carvana.com/carvanalocations","Graham, NC 27253"
"1641160370-17","https://www.carvana.com/carvanalocations","Macon, GA 31210"
"1641160370-71","https://www.carvana.com/carvanalocations","Oklahoma City, OK 73149"
"1641160370-66","https://www.carvana.com/carvanalocations","New Cumberland, PA 17070"
"1641160370-67","https://www.carvana.com/carvanalocations","Grand Rapids, MI 49508"
"1641160370-62","https://www.carvana.com/carvanalocations","Warrensville Heights, OH 44128"
"1641160370-117","https://www.carvana.com/carvanalocations","Eastpointe, MI 48021"
"1641160370-79","https://www.carvana.com/carvanalocations","Oak Creek, WI 53154"
"1641160370-24","https://www.carvana.com/carvanalocations","Gambrills, MD 21054"
"1641160370-116","https://www.carvana.com/carvanalocations","Oak Creek, WI 53154"
"1641160370-142","https://www.carvana.com/carvanalocations","Chatsworth, CA 91311-6120"
"1641160370-59","https://www.carvana.com/carvanalocations","Warrensville Heights, OH 44128"
"1641160370-60","https://www.carvana.com/carvanalocations","Warrensville Heights, OH 44128"
"1641160370-101","https://www.carvana.com/carvanalocations","Warrensville Heights, OH 44128"
"1641160370-56","https://www.carvana.com/carvanalocations","Deer Park, NY 11729"
"1641160370-65","https://www.carvana.com/carvanalocations","New Cumberland, PA 17070"
"1641160370-68","https://www.carvana.com/carvanalocations","Grand Rapids, MI 49508"
"1641160370-3","https://www.carvana.com/carvanalocations","Nashville, TN 37204"
"1641160370-134","https://www.carvana.com/carvanalocations","Conway, SC 29526"
"1641160370-122","https://www.carvana.com/carvanalocations","Denver, CO 80216"
"1641160370-73","https://www.carvana.com/carvanalocations","Houston, TX 77079"
"1641160370-85","https://www.carvana.com/carvanalocations","South Windsor, CT 06074"
"1641160370-94","https://www.carvana.com/carvanalocations","Savannah, GA 31415"
"1641160370-102","https://www.carvana.com/carvanalocations","New Cumberland, PA 17070"
"1641160370-138","https://www.carvana.com/carvanalocations","Charlotte, NC 28209"
"1641160370-41","https://www.carvana.com/carvanalocations","South Windsor, CT 06074"
"1641160370-152","https://www.carvana.com/carvanalocations","Oklahoma City, OK"
"1641160370-64","https://www.carvana.com/carvanalocations","New Cumberland, PA 17070"
"1641160370-129","https://www.carvana.com/carvanalocations","Petersburg, VA 23805"
